season,team,espn_team_id,date,opponent,result,team_score,opp_score,is_win
2026,Duke,150,"Tue, Nov 4",Texas,W 75-60,75,60,True
2026,Duke,150,"Sat, Nov 8",W Carolina,W 95-54,95,54,True
2026,Duke,150,"Tue, Nov 11",Army,W 114-59,114,59,True
2026,Duke,150,"Fri, Nov 14",Indiana St,W 100-62,100,62,True
2026,Duke,150,"Tue, Nov 18",Kansas,W 78-66,78,66,True
2026,Duke,150,"Fri, Nov 21",Niagara,W 100-42,100,42,True
2026,Duke,150,"Sun, Nov 23",Howard,W 93-56,93,56,True
2026,Duke,150,"Thu, Nov 27",Arkansas,W 80-71,80,71,True
2026,Duke,150,"Tue, Dec 2",Florida,W 67-66,67,66,True
2026,Duke,150,"Sat, Dec 6",Michigan St,W 66-60,66,60,True
2026,Duke,150,"Tue, Dec 16",Lipscomb,W 97-73,97,73,True
2026,Duke,150,"Sat, Dec 20",Texas Tech,L 82-81,82,81,False
2026,Duke,150,"Wed, Dec 31",Georgia Tech,W 85-79,85,79,True
2026,Duke,150,"Sat, Jan 3",Florida St,W 91-87,91,87,True
2026,Duke,150,"Tue, Jan 6",Louisville,W 84-73,84,73,True
2026,Duke,150,"Sat, Jan 10",SMU,W 82-75,82,75,True
2026,Duke,150,"Wed, Jan 14",California,W 71-56,71,56,True
2026,Duke,150,"Sat, Jan 17",Stanford,W 80-50,80,50,True
2026,Duke,150,"Sat, Jan 24",Wake Forest,W 90-69,90,69,True
2026,Duke,150,"Mon, Jan 26",Louisville,W 83-52,83,52,True
2026,Duke,150,"Sat, Jan 31",Virginia Tech,W 72-58,72,58,True
2026,Duke,150,"Tue, Feb 3",Boston College,W 67-49,67,49,True
2026,Duke,150,"Sat, Feb 7",North Carolina,L 71-68,71,68,False
2026,Duke,150,"Tue, Feb 10",Pittsburgh,W 70-54,70,54,True
2026,Duke,150,"Sat, Feb 14",Clemson,W 67-54,67,54,True
2026,Duke,150,"Mon, Feb 16",Syracuse,W 101-64,101,64,True
2026,Duke,150,"Sat, Feb 21",Michigan,W 68-63,68,63,True
2026,Duke,150,"Tue, Feb 24",Notre Dame,W 100-56,100,56,True
2026,Duke,150,"Sat, Feb 28",Virginia,W 77-51,77,51,True
2026,Duke,150,"Mon, Mar 2",NC State,W 93-64,93,64,True
2026,Duke,150,"Sat, Mar 7",North Carolina,W 76-61,76,61,True
2026,Duke,150,"Thu, Mar 12",Florida St,W 80-79,80,79,True
2026,Duke,150,"Fri, Mar 13",Clemson,W 73-61,73,61,True
2026,Duke,150,"Sat, Mar 14",Virginia,W 74-70,74,70,True
2026,Akron,2006,"Mon, Nov 3",James Madison,W 85-71,85,71,True
2026,Akron,2006,"Sat, Nov 8",Princeton,W 104-69,104,69,True
2026,Akron,2006,"Wed, Nov 12",Penn State-Shenango,W 109-51,109,51,True
2026,Akron,2006,"Sun, Nov 16",Purdue,L 97-79,97,79,False
2026,Akron,2006,"Fri, Nov 21",Iona,W 96-75,96,75,True
2026,Akron,2006,"Sun, Nov 23",Evansville,W 97-59,97,59,True
2026,Akron,2006,"Mon, Nov 24",Yale,L 97-94,97,94,False
2026,Akron,2006,"Sat, Nov 29",WI Milwaukee,W 105-81,105,81,True
2026,Akron,2006,"Wed, Dec 3",Bucknell,W 97-77,97,77,True
2026,Akron,2006,"Sat, Dec 6",Tulane,W 88-71,88,71,True
2026,Akron,2006,"Sat, Dec 13",Murray St,L 115-100,115,100,False
2026,Akron,2006,"Fri, Dec 19",E Michigan,W 93-72,93,72,True
2026,Akron,2006,"Mon, Dec 29",Concord,W 115-64,115,64,True
2026,Akron,2006,"Sat, Jan 3",Miami OH,L 76-73,76,73,False
2026,Akron,2006,"Tue, Jan 6",C Michigan,W 82-69,82,69,True
2026,Akron,2006,"Fri, Jan 9",Bowling Green,W 77-67,77,67,True
2026,Akron,2006,"Tue, Jan 13",Ball St,W 87-77,87,77,True
2026,Akron,2006,"Sat, Jan 17",W Michigan,W 104-89,104,89,True
2026,Akron,2006,"Tue, Jan 20",Buffalo,W 82-63,82,63,True
2026,Akron,2006,"Fri, Jan 23",Ohio,W 86-65,86,65,True
2026,Akron,2006,"Tue, Jan 27",Toledo,W 91-81,91,81,True
2026,Akron,2006,"Fri, Jan 30",Kent,W 69-52,69,52,True
2026,Akron,2006,"Tue, Feb 3",E Michigan,W 66-64,66,64,True
2026,Akron,2006,"Sat, Feb 7",Troy,L 79-69,79,69,False
2026,Akron,2006,"Fri, Feb 13",Massachusetts,W 99-92,99,92,True
2026,Akron,2006,"Tue, Feb 17",W Michigan,W 90-73,90,73,True
2026,Akron,2006,"Fri, Feb 20",Ball St,W 78-65,78,65,True
2026,Akron,2006,"Tue, Feb 24",Buffalo,W 99-85,99,85,True
2026,Akron,2006,"Fri, Feb 27",Kent,W 92-70,92,70,True
2026,Akron,2006,"Tue, Mar 3",C Michigan,W 77-64,77,64,True
2026,Akron,2006,"Fri, Mar 6",N Illinois,W 94-55,94,55,True
2026,Akron,2006,"Thu, Mar 12",Buffalo,W 73-70,73,70,True
2026,Akron,2006,"Fri, Mar 13",Kent,W 75-68,75,68,True
2026,Akron,2006,"Sat, Mar 14",Toledo,W 79-76,79,76,True
2026,Houston,248,"Mon, Nov 3",Lehigh,W 75-57,75,57,True
2026,Houston,248,"Sat, Nov 8",Towson,W 65-48,65,48,True
2026,Houston,248,"Wed, Nov 12",Oakland,W 78-45,78,45,True
2026,Houston,248,"Sun, Nov 16",Auburn,W 73-72,73,72,True
2026,Houston,248,"Thu, Nov 20",Rider,W 91-45,91,45,True
2026,Houston,248,"Tue, Nov 25",Tennessee,L 76-73,76,73,False
2026,Houston,248,"Wed, Nov 26",Notre Dame,W 66-56,66,56,True
2026,Houston,248,"Sat, Dec 6",Florida St,W 82-67,82,67,True
2026,Houston,248,"Wed, Dec 10",Jackson St,W 80-38,80,38,True
2026,Houston,248,"Sat, Dec 13",New Orleans,W 99-57,99,57,True
2026,Houston,248,"Sat, Dec 20",Arkansas,W 94-85,94,85,True
2026,Houston,248,"Mon, Dec 29",MTSU,W 69-60,69,60,True
2026,Houston,248,"Sat, Jan 3",Cincinnati,W 67-60,67,60,True
2026,Houston,248,"Tue, Jan 6",Texas Tech,W 69-65,69,65,True
2026,Houston,248,"Sat, Jan 10",Baylor,W 77-55,77,55,True
2026,Houston,248,"Tue, Jan 13",West Virginia,W 77-48,77,48,True
2026,Houston,248,"Sun, Jan 18",Arizona St,W 103-73,103,73,True
2026,Houston,248,"Sat, Jan 24",Texas Tech,L 90-86,90,86,False
2026,Houston,248,"Wed, Jan 28",TCU,W 79-70,79,70,True
2026,Houston,248,"Sat, Jan 31",Cincinnati,W 76-54,76,54,True
2026,Houston,248,"Wed, Feb 4",UCF,W 79-55,79,55,True
2026,Houston,248,"Sat, Feb 7",BYU,W 77-66,77,66,True
2026,Houston,248,"Tue, Feb 10",Utah,W 66-52,66,52,True
2026,Houston,248,"Sat, Feb 14",Kansas St,W 78-64,78,64,True
2026,Houston,248,"Mon, Feb 16",Iowa St,L 70-67,70,67,False
2026,Houston,248,"Sat, Feb 21",Arizona,L 73-66,73,66,False
2026,Houston,248,"Mon, Feb 23",Kansas,L 69-56,69,56,False
2026,Houston,248,"Sat, Feb 28",Colorado,W 102-62,102,62,True
2026,Houston,248,"Wed, Mar 4",Baylor,W 77-64,77,64,True
2026,Houston,248,"Sat, Mar 7",Oklahoma St,W 82-75,82,75,True
2026,Houston,248,"Thu, Mar 12",BYU,W 73-66,73,66,True
2026,Houston,248,"Fri, Mar 13",Kansas,W 69-47,69,47,True
2026,Houston,248,"Sat, Mar 14",Arizona,L 79-74,79,74,False
2026,Arizona,12,"Mon, Nov 3",Florida,W 93-87,93,87,True
2026,Arizona,12,"Fri, Nov 7",Utah Tech,W 93-67,93,67,True
2026,Arizona,12,"Tue, Nov 11",Northern Arizona,W 84-49,84,49,True
2026,Arizona,12,"Fri, Nov 14",UCLA,W 69-65,69,65,True
2026,Arizona,12,"Wed, Nov 19",Connecticut,W 71-67,71,67,True
2026,Arizona,12,"Mon, Nov 24",Denver,W 103-73,103,73,True
2026,Arizona,12,"Sat, Nov 29",Norfolk St,W 98-61,98,61,True
2026,Arizona,12,"Sat, Dec 6",Auburn,W 97-68,97,68,True
2026,Arizona,12,"Sat, Dec 13",Alabama,W 96-75,96,75,True
2026,Arizona,12,"Tue, Dec 16",Abilene Chr,W 96-62,96,62,True
2026,Arizona,12,"Sat, Dec 20",San Diego St,W 68-45,68,45,True
2026,Arizona,12,"Mon, Dec 22",Bethune-Cookman,W 107-71,107,71,True
2026,Arizona,12,"Mon, Dec 29",S Dakota St,W 99-71,99,71,True
2026,Arizona,12,"Sat, Jan 3",Utah,W 97-78,97,78,True
2026,Arizona,12,"Wed, Jan 7",Kansas St,W 101-76,101,76,True
2026,Arizona,12,"Sat, Jan 10",TCU,W 86-73,86,73,True
2026,Arizona,12,"Wed, Jan 14",Arizona St,W 89-82,89,82,True
2026,Arizona,12,"Sat, Jan 17",UCF,W 84-77,84,77,True
2026,Arizona,12,"Wed, Jan 21",Cincinnati,W 77-51,77,51,True
2026,Arizona,12,"Sat, Jan 24",West Virginia,W 88-53,88,53,True
2026,Arizona,12,"Mon, Jan 26",BYU,W 86-83,86,83,True
2026,Arizona,12,"Sat, Jan 31",Arizona St,W 87-74,87,74,True
2026,Arizona,12,"Sat, Feb 7",Oklahoma St,W 84-47,84,47,True
2026,Arizona,12,"Mon, Feb 9",Kansas,L 82-78,82,78,False
2026,Arizona,12,"Wed, Feb 18",BYU,W 75-68,75,68,True
2026,Arizona,12,"Sat, Feb 21",Houston,W 73-66,73,66,True
2026,Arizona,12,"Tue, Feb 24",Baylor,W 87-80,87,80,True
2026,Arizona,12,"Sat, Feb 28",Kansas,W 84-61,84,61,True
2026,Arizona,12,"Mon, Mar 2",Iowa St,W 73-57,73,57,True
2026,Arizona,12,"Sat, Mar 7",Colorado,W 89-79,89,79,True
2026,Arizona,12,"Thu, Mar 12",UCF,W 81-59,81,59,True
2026,Arizona,12,"Fri, Mar 13",Iowa St,W 82-80,82,80,True
2026,Arizona,12,"Sat, Mar 14",Houston,W 79-74,79,74,True
