,Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,1,1,1,2025-04-19,IND,,MIL,W 117-98,0,25:16,2,7,0.286,1,6,0.167,1,1,1.000,0.357,8,8,1.000,1,4,5,1,0,0,1,2,13,9.7,9
,2,2,2,2025-04-22,IND,,MIL,W 123-115,0,17:07,4,10,0.400,1,4,0.250,3,6,0.500,0.450,5,5,1.000,0,1,1,1,0,0,0,1,14,9.2,-2
,3,3,3,2025-04-25,IND,@,MIL,L 101-117,0,13:42,4,8,0.500,0,4,0.000,4,4,1.000,0.500,1,1,1.000,0,3,3,0,1,0,2,2,9,4.1,-8
,3,,4,2025-04-27,IND,@,MIL,W 129-103,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,4,4,5,2025-04-29,IND,,MIL,W 119-118 (OT),0,15:58,2,3,0.667,0,1,0.000,2,2,1.000,0.667,1,4,0.250,0,2,2,1,3,0,3,2,5,3.0,1
,5,5,6,2025-05-04,IND,@,CLE,W 121-112,0,23:23,4,10,0.400,3,5,0.600,1,5,0.200,0.550,0,0,,2,3,5,1,0,1,1,3,11,7.1,0
,6,6,7,2025-05-06,IND,@,CLE,W 120-119,0,19:59,6,10,0.600,1,3,0.333,5,7,0.714,0.650,6,6,1.000,1,1,2,1,0,0,0,4,19,14.5,8
,7,7,8,2025-05-09,IND,,CLE,L 104-126,0,26:53,6,11,0.545,3,8,0.375,3,3,1.000,0.682,8,9,0.889,0,1,1,0,1,0,2,4,23,15.0,-7
,8,8,9,2025-05-11,IND,,CLE,W 129-109,0,01:20,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,5
,9,9,10,2025-05-13,IND,@,CLE,W 114-105,0,11:08,2,4,0.500,0,1,0.000,2,3,0.667,0.500,0,0,,0,0,0,0,0,1,1,2,4,0.9,-13
,10,10,11,2025-05-21,IND,@,NYK,W 138-135 (OT),0,21:08,2,5,0.400,0,1,0.000,2,4,0.500,0.400,5,5,1.000,2,1,3,0,0,0,0,1,9,7.6,-14
,11,11,12,2025-05-23,IND,@,NYK,W 114-109,0,10:43,0,2,0.000,0,0,,0,2,0.000,0.000,0,0,,0,0,0,1,0,0,1,0,0,-1.7,-12
,12,12,13,2025-05-25,IND,,NYK,L 100-106,0,08:26,0,1,0.000,0,0,,0,1,0.000,0.000,2,2,1.000,0,2,2,2,0,0,1,1,2,1.9,-5
,13,13,14,2025-05-27,IND,,NYK,W 130-121,0,12:29,5,8,0.625,0,2,0.000,5,6,0.833,0.625,10,11,0.909,0,2,2,2,0,0,0,1,20,17.6,-2
,14,14,15,2025-05-29,IND,@,NYK,L 94-111,0,24:42,6,10,0.600,2,4,0.500,4,6,0.667,0.700,9,9,1.000,1,8,9,0,0,0,3,3,23,17.3,8
,15,15,16,2025-05-31,IND,,NYK,W 125-108,0,08:33,1,2,0.500,0,0,,1,2,0.500,0.500,2,2,1.000,1,0,1,0,0,0,1,2,4,1.9,-12
,16,16,17,2025-06-05,IND,@,OKC,W 111-110,0,15:53,1,5,0.200,0,0,,1,5,0.200,0.200,3,4,0.750,3,0,3,2,0,1,1,2,5,3.9,-8
,17,17,18,2025-06-08,IND,@,OKC,L 107-123,0,21:53,4,7,0.571,1,2,0.500,3,5,0.600,0.643,5,7,0.714,0,2,2,1,0,0,2,4,14,7.6,-9
,18,18,19,2025-06-11,IND,,OKC,W 116-107,0,22:24,9,12,.750,2,3,.667,7,9,.778,.833,7,8,.875,1,3,4,1,0,1,1,0,27,23.8,16
,19,19,20,2025-06-13,IND,,OKC,L 104-111,0,13:53,1,2,.500,1,2,.500,0,0,,.750,5,8,.625,0,2,2,0,0,0,1,2,8,4.6,-5
, 20,20,21,2025-06-16,IND,@,OKC,L 109-120,0,22:12,2,11,.182,1,4,.250,1,7,.143,.227,2,4,.500,6,2,8,1,0,2,1,2,7,4.4,6
