,Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,1,571,1,2024-10-23,IND,@,DET,W 115-109,1,36:03,7,14,0.500,3,8,0.375,4,6,0.667,0.607,3,3,1.000,0,9,9,4,0,4,4,4,20,15.7,20
,2,572,2,2024-10-25,IND,@,NYK,L 98-123,1,23:13,5,9,0.556,0,3,0.000,5,6,0.833,0.556,3,5,0.600,1,6,7,1,0,3,2,4,13,9.6,-23
,3,573,3,2024-10-27,IND,,PHI,L 114-118 (OT),1,37:16,4,11,0.364,2,5,0.400,2,6,0.333,0.455,4,8,0.500,0,4,4,2,4,1,6,5,14,5.6,-2
,4,574,4,2024-10-28,IND,@,ORL,L 115-119,1,25:52,5,10,0.500,1,3,0.333,4,7,0.571,0.550,2,3,0.667,1,4,5,0,0,0,1,5,13,6.5,-10
,4,,5,2024-10-30,IND,,BOS,W 135-132 (OT),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
,5,575,6,2024-11-01,IND,@,NOP,L 118-125,1,29:55,5,12,0.417,2,5,0.400,3,7,0.429,0.500,0,0,,0,4,4,2,0,1,4,4,12,3.3,-19
,6,576,7,2024-11-04,IND,@,DAL,W 134-127,1,32:55,10,17,0.588,5,8,0.625,5,9,0.556,0.735,5,5,1.000,1,10,11,0,1,1,2,2,30,24.7,9
,7,577,8,2024-11-06,IND,,ORL,W 118-111,1,36:26,6,17,0.353,1,6,0.167,5,11,0.455,0.382,4,5,0.800,1,9,10,2,1,2,3,3,17,10.1,1
,8,578,9,2024-11-08,IND,@,CHO,L 83-103,1,31:53,5,13,0.385,1,3,0.333,4,10,0.400,0.423,1,4,0.250,4,6,10,1,1,2,3,2,12,7.6,-23
,9,579,10,2024-11-10,IND,,NYK,W 132-121,1,39:06,8,15,0.533,5,8,0.625,3,7,0.429,0.700,5,6,0.833,0,6,6,1,1,2,2,4,26,19.6,14
,10,580,11,2024-11-13,IND,@,ORL,L 90-94,1,33:50,4,11,0.364,2,5,0.400,2,6,0.333,0.455,1,2,0.500,0,2,2,1,2,2,1,4,11,6.6,-3
,11,581,12,2024-11-15,IND,,MIA,L 111-124,1,28:21,3,7,0.429,1,4,0.250,2,3,0.667,0.500,2,3,0.667,0,5,5,2,1,1,1,1,9,8.1,-29
,12,582,13,2024-11-17,IND,,MIA,W 119-110,1,40:11,14,23,0.609,5,8,0.625,9,15,0.600,0.717,1,1,1.000,3,6,9,1,0,2,1,1,34,28.1,11
,12,,14,2024-11-18,IND,@,TOR,L 119-130,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
,13,583,15,2024-11-20,IND,@,HOU,L 113-130,1,28:38,3,7,0.429,0,1,0.000,3,6,0.500,0.429,4,5,0.800,0,9,9,2,0,5,4,3,10,8.3,-13
,14,584,16,2024-11-22,IND,@,MIL,L 117-129,1,32:50,6,11,0.545,3,5,0.600,3,6,0.500,0.682,0,0,,1,7,8,1,1,2,4,4,15,10.0,-18
,15,585,17,2024-11-24,IND,,WAS,W 115-103,1,29:49,4,8,0.500,1,3,0.333,3,5,0.600,0.563,1,2,0.500,3,6,9,1,2,1,1,2,10,11.1,9
,16,586,18,2024-11-25,IND,,NOP,W 114-110,1,28:27,7,11,0.636,2,6,0.333,5,5,1.000,0.727,1,3,0.333,3,6,9,1,1,1,3,5,17,12.6,21
,17,587,19,2024-11-27,IND,,POR,W 121-114,1,38:07,7,17,0.412,1,7,0.143,6,10,0.600,0.441,0,0,,6,2,8,1,1,5,3,3,15,11.7,22
,18,588,20,2024-11-29,IND,,DET,L 106-130,1,27:48,3,8,0.375,1,3,0.333,2,5,0.400,0.438,2,2,1.000,1,9,10,2,0,1,2,3,9,6.9,-22
,19,589,21,2024-12-01,IND,@,MEM,L 121-136,1,31:17,3,11,0.273,2,8,0.250,1,3,0.333,0.364,4,4,1.000,1,5,6,2,0,1,2,3,12,6.6,-10
,20,590,22,2024-12-03,IND,@,TOR,L 111-122,1,38:28,5,9,0.556,4,6,0.667,1,3,0.333,0.778,2,2,1.000,1,6,7,2,0,3,3,1,16,14.3,-6
,21,591,23,2024-12-04,IND,@,BRK,L 90-99,1,30:58,4,8,0.500,1,3,0.333,3,5,0.600,0.563,2,2,1.000,0,7,7,4,0,4,3,2,11,10.9,-10
,22,592,24,2024-12-06,IND,@,CHI,W 132-123,1,31:55,6,10,0.600,3,5,0.600,3,5,0.600,0.750,0,0,,1,6,7,4,2,2,1,1,15,17.7,9
,23,593,25,2024-12-08,IND,,CHO,L 109-113,1,20:55,3,9,0.333,3,4,0.750,0,5,0.000,0.500,1,2,0.500,0,1,1,0,1,1,4,4,10,0.9,-7
,24,594,26,2024-12-13,IND,@,PHI,W 121-107,1,25:10,3,8,0.375,0,3,0.000,3,5,0.600,0.375,1,2,0.500,1,5,6,2,0,1,1,5,7,3.5,17
,25,595,27,2024-12-15,IND,,NOP,W 119-104,1,27:54,4,8,0.500,2,4,0.500,2,4,0.500,0.625,4,5,0.800,2,4,6,2,2,4,0,3,14,17.2,15
,26,596,28,2024-12-19,IND,@,PHO,W 120-111,1,34:11,5,10,0.500,3,8,0.375,2,2,1.000,0.650,6,6,1.000,0,6,6,1,1,2,2,4,19,15.3,15
,27,597,29,2024-12-22,IND,@,SAC,W 122-95,1,24:51,7,9,0.778,1,3,0.333,6,6,1.000,0.833,0,0,,0,6,6,1,2,2,2,2,15,14.6,9
,28,598,30,2024-12-23,IND,@,GSW,W 111-105,1,34:32,9,14,0.643,3,7,0.429,6,7,0.857,0.750,2,2,1.000,2,8,10,1,0,3,2,1,23,21.0,18
,29,599,31,2024-12-26,IND,,OKC,L 114-120,1,32:59,4,13,0.308,1,6,0.167,3,7,0.429,0.346,3,6,0.500,4,7,11,2,0,5,2,2,12,10.3,-5
,30,600,32,2024-12-27,IND,@,BOS,L 105-142,1,22:51,3,7,0.429,1,4,0.250,2,3,0.667,0.500,1,2,0.500,3,2,5,0,0,0,3,3,8,2.4,-23
,31,601,33,2024-12-29,IND,@,BOS,W 123-114,1,32:37,5,8,0.625,0,1,0.000,5,7,0.714,0.625,3,4,0.750,1,5,6,3,0,0,0,0,13,13.3,12
,32,602,34,2024-12-31,IND,,MIL,L 112-120,1,33:23,7,12,0.583,2,5,0.400,5,7,0.714,0.667,0,0,,4,6,10,2,0,1,2,3,16,13.9,-2
,33,603,35,2025-01-02,IND,@,MIA,W 128-115,1,34:38,8,15,0.533,2,5,0.400,6,10,0.600,0.600,3,4,0.750,1,4,5,2,1,2,0,3,21,17.8,14
,34,604,36,2025-01-04,IND,,PHO,W 126-108,1,27:15,9,17,0.529,2,6,0.333,7,11,0.636,0.588,0,0,,2,4,6,1,1,3,0,0,20,18.1,16
,35,605,37,2025-01-06,IND,@,BRK,W 113-99,1,30:47,4,7,0.571,2,4,0.500,2,3,0.667,0.714,0,0,,2,3,5,1,3,3,1,1,10,13.4,13
,35,,38,2025-01-08,IND,,CHI,W 129-113,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
