,Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,1,552,1,2024-10-23,IND,@,DET,W 115-109,1,31:58,8,15,0.533,1,3,0.333,7,12,0.583,0.567,2,3,0.667,3,5,8,9,2,0,0,0,19,23.2,15
,2,553,2,2024-10-25,IND,@,NYK,L 98-123,1,23:13,5,11,0.455,0,4,0.000,5,7,0.714,0.455,2,2,1.000,2,3,5,2,0,0,2,1,12,7.6,-23
,3,554,3,2024-10-27,IND,,PHI,L 114-118 (OT),1,40:07,7,11,0.636,2,4,0.500,5,7,0.714,0.727,1,2,0.500,0,5,5,6,0,1,1,2,17,16.3,14
,4,555,4,2024-10-28,IND,@,ORL,L 115-119,1,33:49,10,18,0.556,2,5,0.400,8,13,0.615,0.611,4,5,0.800,2,7,9,4,2,0,2,5,26,21.3,-9
,5,556,5,2024-10-30,IND,,BOS,W 135-132 (OT),1,37:41,11,20,0.550,6,8,0.750,5,12,0.417,0.700,1,4,0.250,5,6,11,5,0,0,2,2,29,24.2,5
,6,557,6,2024-11-01,IND,@,NOP,L 118-125,1,31:43,7,13,0.538,2,5,0.400,5,8,0.625,0.615,0,0,,1,4,5,6,1,1,2,6,16,13.1,1
,7,558,7,2024-11-04,IND,@,DAL,W 134-127,1,35:35,10,16,0.625,1,2,0.500,9,14,0.643,0.656,2,2,1.000,1,5,6,4,0,0,1,1,23,19.4,16
,8,559,8,2024-11-06,IND,,ORL,W 118-111,1,33:29,6,13,0.462,0,3,0.000,6,10,0.600,0.462,5,5,1.000,1,3,4,3,0,0,0,3,17,12.8,6
,9,560,9,2024-11-08,IND,@,CHO,L 83-103,1,33:37,11,17,0.647,5,7,0.714,6,10,0.600,0.794,0,2,0.000,0,4,4,3,3,0,2,2,27,22.2,5
,10,561,10,2024-11-10,IND,,NYK,W 132-121,1,34:07,5,13,0.385,2,6,0.333,3,7,0.429,0.462,2,2,1.000,3,5,8,3,0,0,0,4,14,11.0,8
