Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,40,1,2025-04-19,IND,,MIL,W 117-98,0,15:26,5,7,.714,0,0,,5,7,.714,.714,1,2,.500,0,2,2,5,0,0,1,2,11,10.0,-3
2,41,2,2025-04-22,IND,,MIL,W 123-115,0,16:16,3,8,.375,0,0,,3,8,.375,.375,0,0,,3,2,5,4,2,0,0,0,6,9.1,2
3,42,3,2025-04-25,IND,@,MIL,L 101-117,0,16:36,0,4,.000,0,0,,0,4,.000,.000,0,0,,0,4,4,5,0,0,1,0,0,0.9,3
4,43,4,2025-04-27,IND,@,MIL,W 129-103,0,22:25,7,10,.700,1,2,.500,6,8,.750,.750,0,0,,1,2,3,6,0,0,2,1,15,13.9,5
5,44,5,2025-04-29,IND,,MIL,W 119-118 (OT),0,17:01,7,11,.636,0,0,,7,11,.636,.636,4,4,1.000,0,3,3,3,0,0,1,0,18,15.1,1
6,45,6,2025-05-04,IND,@,CLE,W 121-112,0,15:16,3,5,.600,1,1,1.000,2,4,.500,.700,0,0,,0,1,1,2,0,0,2,1,7,4.0,-6
7,46,7,2025-05-06,IND,@,CLE,W 120-119,0,13:53,2,5,.400,0,1,.000,2,4,.500,.400,0,0,,0,3,3,2,1,0,3,1,4,1.2,-15
8,47,8,2025-05-09,IND,,CLE,L 104-126,0,21:09,4,9,.444,0,0,,4,9,.444,.444,4,4,1.000,1,5,6,7,0,0,1,0,12,13.4,8
9,48,9,2025-05-11,IND,,CLE,W 129-109,0,18:08,5,9,.556,1,2,.500,4,7,.571,.611,2,2,1.000,0,2,2,8,1,0,1,3,13,13.7,9
10,49,10,2025-05-13,IND,@,CLE,W 114-105,0,10:06,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,2,3,2,0,0,2,0,0,0.0,-16
11,50,11,2025-05-21,IND,@,NYK,W 138-135 (OT),0,14:04,4,9,.444,0,1,.000,4,8,.500,.444,2,4,.500,0,4,4,2,0,0,1,2,10,5.3,-14
12,51,12,2025-05-23,IND,@,NYK,W 114-109,0,14:27,5,8,.625,0,2,.000,5,6,.833,.625,0,0,,1,1,2,4,0,0,1,2,10,8.4,5
13,52,13,2025-05-25,IND,,NYK,L 100-106,0,15:27,5,9,.556,0,1,.000,5,8,.625,.556,2,2,1.000,2,1,3,3,0,0,2,1,12,9.1,-6
14,53,14,2025-05-27,IND,,NYK,W 130-121,0,18:33,3,4,.750,0,0,,3,4,.750,.750,0,0,,0,0,0,3,1,0,2,0,6,5.5,3
15,54,15,2025-05-29,IND,@,NYK,L 94-111,0,17:35,3,5,.600,1,2,.500,2,3,.667,.700,0,0,,0,5,5,5,0,1,3,1,7,7.0,6
16,55,16,2025-05-31,IND,,NYK,W 125-108,0,13:46,1,4,.250,1,2,.500,0,2,.000,.375,0,0,,0,4,4,2,0,0,2,1,3,0.8,-4
17,56,17,2025-06-05,IND,@,OKC,W 111-110,0,16:33,4,6,.667,1,1,1.000,3,5,.600,.750,0,0,,0,1,1,4,1,0,3,1,9,7.1,-13
18,57,18,2025-06-08,IND,@,OKC,L 107-123,0,18:05,5,7,.714,1,1,1.000,4,6,.667,.786,0,0,,0,3,3,6,2,0,0,2,11,14.4,-6
19,58,19,2025-06-11,IND,,OKC,W 116-107,0,15:06,3,8,.375,0,1,.000,3,7,.429,.375,4,4,1.000,1,0,1,5,5,0,2,1,10,12.4,12
20,59,20,2025-06-13,IND,,OKC,L 104-111,0,17:57,3,7,.429,0,0,,3,7,.429,.429,2,2,1.000,1,0,1,2,0,0,1,0,8,5.4,-7
21,60,21,2025-06-16,IND,@,OKC,L 109-120,0,21:58,8,14,.571,1,2,.500,7,12,.583,.607,1,1,1.000,0,4,4,4,2,0,3,3,18,13.2,4
