,Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,1,261,1,2024-10-23,IND,@,DET,W 115-109,1,34:58,6,18,0.333,1,9,0.111,5,9,0.556,0.361,2,2,1.000,1,4,5,4,3,2,3,2,15,10.1,15
,2,262,2,2024-10-25,IND,@,NYK,L 98-123,1,25:51,0,8,0.000,0,7,0.000,0,1,0.000,0.000,0,0,,0,1,1,5,1,0,1,2,0,-2.6,-23
,3,263,3,2024-10-27,IND,,PHI,L 114-118 (OT),1,37:18,8,18,0.444,4,9,0.444,4,9,0.444,0.556,2,5,0.400,1,3,4,2,0,1,3,2,22,11.3,-9
,4,264,4,2024-10-28,IND,@,ORL,L 115-119,1,35:04,6,15,0.400,4,9,0.444,2,6,0.333,0.533,3,4,0.750,3,6,9,10,1,0,1,1,19,21.0,3
,5,265,5,2024-10-30,IND,,BOS,W 135-132 (OT),1,39:49,7,19,0.368,2,10,0.200,5,9,0.556,0.421,1,1,1.000,0,6,6,12,2,0,1,5,17,15.7,9
,6,266,6,2024-11-01,IND,@,NOP,L 118-125,1,33:24,2,8,0.250,1,6,0.167,1,2,0.500,0.313,6,6,1.000,1,1,2,11,0,0,2,2,11,12.1,-19
,7,267,7,2024-11-04,IND,@,DAL,W 134-127,1,35:32,10,16,0.625,2,8,0.250,8,8,1.000,0.688,3,6,0.500,0,4,4,12,2,1,2,1,25,26.5,9
,8,268,8,2024-11-06,IND,,ORL,W 118-111,1,36:39,6,11,0.545,3,5,0.600,3,6,0.500,0.682,2,2,1.000,0,3,3,4,1,0,1,4,17,13.8,6
,9,269,9,2024-11-08,IND,@,CHO,L 83-103,1,34:14,2,11,0.182,0,4,0.000,2,7,0.286,0.182,2,2,1.000,1,6,7,9,1,1,2,1,6,7.2,-21
,10,270,10,2024-11-10,IND,,NYK,W 132-121,1,35:11,11,18,0.611,4,10,0.400,7,8,0.875,0.722,9,11,0.818,0,2,2,14,2,0,2,1,35,36.0,12
,11,271,11,2024-11-13,IND,@,ORL,L 90-94,1,39:34,3,14,0.214,2,8,0.250,1,6,0.167,0.286,1,1,1.000,0,1,1,11,0,0,4,1,9,4.0,5
,12,272,12,2024-11-15,IND,,MIA,L 111-124,1,28:39,7,14,0.500,4,9,0.444,3,5,0.600,0.643,0,0,,1,1,2,8,1,0,1,1,18,17.2,-25
,13,273,13,2024-11-17,IND,,MIA,W 119-110,1,37:40,4,13,0.308,3,8,0.375,1,5,0.200,0.423,5,5,1.000,1,2,3,13,0,2,0,2,16,19.5,19
,14,274,14,2024-11-18,IND,@,TOR,L 119-130,1,38:49,5,18,0.278,2,9,0.222,3,9,0.333,0.333,4,4,1.000,2,1,3,4,5,2,1,4,16,13.7,-15
,15,275,15,2024-11-20,IND,@,HOU,L 113-130,1,30:01,1,7,0.143,1,5,0.200,0,2,0.000,0.214,1,1,1.000,0,1,1,8,0,1,2,1,4,3.7,-28
,16,276,16,2024-11-22,IND,@,MIL,L 117-129,1,33:54,6,14,0.429,4,10,0.400,2,4,0.500,0.571,2,2,1.000,0,1,1,9,0,0,1,0,18,16.2,-18
,17,277,17,2024-11-24,IND,,WAS,W 115-103,1,34:17,7,18,0.389,5,11,0.455,2,7,0.286,0.528,2,2,1.000,3,1,4,9,2,0,3,3,21,17.7,12
,18,278,18,2024-11-25,IND,,NOP,W 114-110,1,35:34,12,23,0.522,9,18,0.500,3,5,0.600,0.717,1,1,1.000,0,3,3,13,3,0,2,1,34,33.3,16
,19,279,19,2024-11-27,IND,,POR,W 121-114,1,38:51,8,15,0.533,5,10,0.500,3,5,0.600,0.700,7,7,1.000,2,5,7,10,2,0,3,2,28,28.8,17
,20,280,20,2024-11-29,IND,,DET,L 106-130,1,29:52,8,13,0.615,3,8,0.375,5,5,1.000,0.731,0,0,,0,1,1,5,0,0,2,0,19,14.9,-23
,21,281,21,2024-12-01,IND,@,MEM,L 121-136,1,36:53,3,10,0.300,2,9,0.222,1,1,1.000,0.400,0,0,,1,1,2,7,1,0,2,0,8,7.1,-6
,22,282,22,2024-12-03,IND,@,TOR,L 111-122,1,39:54,10,16,0.625,4,9,0.444,6,7,0.857,0.750,6,7,0.857,1,3,4,6,1,0,3,2,30,25.4,-3
,23,283,23,2024-12-04,IND,@,BRK,L 90-99,1,36:58,5,13,0.385,1,7,0.143,4,6,0.667,0.423,6,7,0.857,0,3,3,8,2,2,3,1,17,16.0,2
,24,284,24,2024-12-06,IND,@,CHI,W 132-123,1,38:09,9,17,0.529,5,9,0.556,4,8,0.500,0.676,0,0,,0,4,4,8,2,0,2,1,23,21.1,5
,25,285,25,2024-12-08,IND,,CHO,L 109-113,1,36:52,4,10,0.400,0,4,0.000,4,6,0.667,0.400,1,2,0.500,0,2,2,8,0,3,2,1,9,9.1,-3
,26,286,26,2024-12-13,IND,@,PHI,W 121-107,1,34:32,12,23,0.522,7,15,0.467,5,8,0.625,0.674,1,1,1.000,1,2,3,11,1,1,2,1,32,29.0,21
,27,287,27,2024-12-15,IND,,NOP,W 119-104,1,34:42,6,14,0.429,4,8,0.500,2,6,0.333,0.571,5,6,0.833,0,4,4,10,3,1,4,1,21,20.7,9
,28,288,28,2024-12-19,IND,@,PHO,W 120-111,1,37:09,4,9,0.444,4,9,0.444,0,0,,0.667,1,2,0.500,1,3,4,12,0,1,2,1,13,16.2,14
,29,289,29,2024-12-22,IND,@,SAC,W 122-95,1,30:48,5,10,0.500,4,9,0.444,1,1,1.000,0.700,0,0,,1,4,5,8,0,0,1,0,14,15.5,15
,30,290,30,2024-12-23,IND,@,GSW,W 111-105,1,38:21,6,11,0.545,2,7,0.286,4,4,1.000,0.636,2,2,1.000,0,6,6,12,2,0,1,0,16,21.9,28
,31,291,31,2024-12-26,IND,,OKC,L 114-120,1,35:17,2,6,0.333,0,2,0.000,2,4,0.500,0.333,0,0,,1,1,2,8,0,0,1,1,4,5.8,-13
,32,292,32,2024-12-27,IND,@,BOS,L 105-142,1,29:38,6,13,0.462,3,8,0.375,3,5,0.600,0.577,4,4,1.000,0,4,4,9,0,0,2,0,19,17.8,-27
,33,293,33,2024-12-29,IND,@,BOS,W 123-114,1,36:08,11,19,0.579,1,6,0.167,10,13,0.769,0.605,8,9,0.889,0,6,6,7,1,0,0,0,31,29.4,13
,34,294,34,2024-12-31,IND,,MIL,L 112-120,1,38:38,3,13,0.231,1,6,0.167,2,7,0.286,0.269,5,6,0.833,2,5,7,7,1,2,1,2,12,12.1,-6
,35,295,35,2025-01-02,IND,@,MIA,W 128-115,1,34:41,13,21,0.619,6,13,0.462,7,8,0.875,0.762,1,3,0.333,1,4,5,15,2,1,0,1,33,37.4,26
,36,296,36,2025-01-04,IND,,PHO,W 126-108,1,32:50,8,19,0.421,5,12,0.417,3,7,0.429,0.553,6,7,0.857,1,4,5,8,2,1,0,0,27,26.7,13
,37,297,37,2025-01-06,IND,@,BRK,W 113-99,1,31:55,5,12,0.417,4,7,0.571,1,5,0.200,0.583,9,9,1.000,0,2,2,8,1,1,3,2,23,20.7,10
,38,298,38,2025-01-08,IND,,CHI,W 129-113,1,30:12,7,13,0.538,2,3,0.667,5,10,0.500,0.615,0,0,,0,3,3,13,2,0,1,1,16,20.3,25
,39,299,39,2025-01-10,IND,,GSW,W 108-96,1,34:55,8,10,0.800,2,4,0.500,6,6,1.000,0.900,7,7,1.000,0,2,2,10,3,0,5,1,25,26.4,18
,40,300,40,2025-01-12,IND,@,CLE,W 108-93,1,18:30,1,5,0.200,0,2,0.000,1,3,0.333,0.200,0,0,,0,1,1,5,1,1,1,0,2,3.4,-14
,40,,41,2025-01-14,IND,,CLE,L 117-127,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
,41,301,42,2025-01-16,IND,@,DET,W 111-100,1,33:57,7,15,0.467,2,6,0.333,5,9,0.556,0.533,1,1,1.000,0,4,4,8,1,1,0,2,17,17.0,10
,42,302,43,2025-01-18,IND,,PHI,W 115-102,1,32:29,4,11,0.364,1,7,0.143,3,4,0.750,0.409,0,0,,1,4,5,9,0,0,5,2,9,5.3,-3
,43,303,44,2025-01-23,IND,,SAS,L 110-140,1,30:29,5,11,0.455,3,7,0.429,2,4,0.500,0.591,0,0,,0,2,2,7,0,0,0,0,13,12.8,-20
,44,304,45,2025-01-25,IND,@,SAS,W 136-98,1,28:27,11,17,0.647,6,9,0.667,5,8,0.625,0.824,0,0,,1,2,3,4,2,2,1,1,28,26.6,15
,45,305,46,2025-01-29,IND,,DET,W 133-119,1,32:17,10,17,0.588,4,9,0.444,6,8,0.750,0.706,6,9,0.667,1,6,7,8,1,0,1,0,30,29.0,15
,46,306,47,2025-02-01,IND,,ATL,W 132-127,1,34:59,5,12,0.417,3,6,0.500,2,6,0.333,0.542,4,5,0.800,0,4,4,9,2,1,1,2,17,18.6,5
,47,307,48,2025-02-03,IND,@,UTA,W 112-111,1,34:14,6,15,0.400,3,10,0.300,3,5,0.600,0.500,3,4,0.750,1,2,3,6,3,2,3,1,18,16.0,-4
,48,308,49,2025-02-04,IND,@,POR,L 89-112,1,24:44,0,3,0.000,0,1,0.000,0,2,0.000,0.000,0,0,,0,2,2,6,1,2,2,3,0,1.9,-23
,49,309,50,2025-02-06,IND,@,LAC,W 119-112,1,34:07,5,13,0.385,2,7,0.286,3,6,0.500,0.462,2,2,1.000,0,3,3,8,4,1,1,1,14,16.7,7
,50,310,51,2025-02-08,IND,@,LAL,L 117-124,1,35:55,7,15,0.467,4,9,0.444,3,6,0.500,0.600,1,1,1.000,0,2,2,9,2,1,1,3,19,18.7,-9
,51,311,52,2025-02-11,IND,,NYK,L 115-128,1,32:35,7,15,0.467,2,6,0.333,5,9,0.556,0.533,0,0,,1,4,5,8,0,0,4,2,16,11.0,-11
,52,312,53,2025-02-12,IND,@,WAS,W 134-130 (OT),1,31:47,8,18,0.444,4,8,0.500,4,10,0.400,0.556,0,0,,0,2,2,7,1,0,2,1,20,14.7,-7
,53,313,54,2025-02-20,IND,,MEM,W 127-113,1,32:21,9,17,0.529,4,11,0.364,5,6,0.833,0.647,0,0,,1,4,5,9,1,1,1,3,22,21.4,8
,54,314,55,2025-02-23,IND,,LAC,W 129-111,1,30:17,9,14,0.643,4,8,0.500,5,6,0.833,0.786,7,7,1.000,0,1,1,12,3,0,1,0,29,33.5,15
,55,315,56,2025-02-24,IND,,DEN,L 116-125,1,40:22,6,11,0.545,5,10,0.500,1,1,1.000,0.773,2,2,1.000,0,1,1,15,3,0,1,2,19,25.7,1
