Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,11,1,2025-04-20,OKC,,MEM,W 131-80,0,26:17,8,15,0.533,4,7,0.571,4,8,0.500,0.667,1,1,1.000,1,3,4,2,0,0,2,2,21,13.9,21
2,12,2,2025-04-22,OKC,,MEM,W 118-99,0,07:26,4,6,0.667,0,1,0.000,4,5,0.800,0.667,0,1,0.000,0,0,0,0,1,0,0,0,8,6.0,2
3,13,3,2025-04-24,OKC,@,MEM,W 114-108,0,06:33,0,4,0.000,0,2,0.000,0,2,0.000,0.000,0,0,,0,0,0,0,0,0,0,0,0,-2.8,-13
4,14,4,2025-04-26,OKC,@,MEM,W 117-115,0,14:38,3,7,0.429,0,3,0.000,3,4,0.750,0.429,3,3,1.000,2,0,2,0,2,0,1,1,9,7.3,6
5,15,5,2025-05-05,OKC,,DEN,L 119-121,0,13:34,1,1,1.000,1,1,1.000,0,0,,1.500,2,2,1.000,1,3,4,0,0,0,0,0,5,6.3,19
6,16,6,2025-05-07,OKC,,DEN,W 149-106,0,14:54,4,8,0.500,2,4,0.500,2,4,0.500,0.625,0,0,,2,3,5,0,1,0,2,3,10,6.1,4
7,17,7,2025-05-09,OKC,@,DEN,L 104-113 (OT),0,12:30,3,5,0.600,1,3,0.333,2,2,1.000,0.700,0,0,,1,1,2,2,0,1,0,1,7,7.4,0
8,18,8,2025-05-11,OKC,@,DEN,W 92-87,0,15:46,4,8,0.500,3,6,0.500,1,2,0.500,0.688,0,0,,1,5,6,0,0,0,1,0,11,8.2,14
9,19,9,2025-05-13,OKC,,DEN,W 112-105,0,11:20,1,4,0.250,1,3,0.333,0,1,0.000,0.375,0,0,,0,1,1,2,0,1,1,0,3,2.0,0
10,20,10,2025-05-15,OKC,@,DEN,L 107-119,0,12:28,1,6,0.167,0,4,0.000,1,2,0.500,0.167,0,0,,0,1,1,1,0,1,1,1,2,-1.5,1
11,21,11,2025-05-18,OKC,,DEN,W 125-93,0,19:22,3,11,0.273,2,8,0.250,1,3,0.333,0.364,0,0,,2,2,4,3,2,1,0,2,8,7.5,19
12,22,12,2025-05-20,OKC,,MIN,W 114-88,0,12:57,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,1,2,3,0,0,0,0,1,2,1.2,0
13,23,13,2025-05-22,OKC,,MIN,W 118-103,0,09:56,0,2,0.000,0,1,0.000,0,1,0.000,0.000,0,0,,1,1,2,2,0,0,0,1,0,0.6,-9
14,24,14,2025-05-24,OKC,@,MIN,L 101-143,0,16:11,2,5,0.400,1,3,0.333,1,2,0.500,0.500,0,0,,0,0,0,2,0,0,1,2,5,1.9,-12
14,,15,2025-05-26,OKC,@,MIN,W 128-126,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,25,16,2025-05-28,OKC,,MIN,W 124-94,0,08:21,0,1,0.000,0,1,0.000,0,0,,0.000,0,0,,0,2,2,1,0,0,0,1,0,0.2,16
16,26,17,2025-06-05,OKC,,IND,L 110-111,0,09:25,1,2,0.500,0,1,0.000,1,1,1.000,0.500,1,2,0.500,0,0,0,0,1,0,2,0,3,0.6,6
17,27,18,2025-06-08,OKC,,IND,W 123-107,0,20:32,6,11,0.545,5,8,0.625,1,3,0.333,0.773,1,2,0.500,1,3,4,1,1,0,1,1,18,14.2,24
18,28,19,2025-06-11,OKC,@,IND,L 107-116,0,09:39,0,2,.000,0,0,,0,2,.000,.000,0,0,,1,1,2,2,0,0,1,3,0,-1.2,-5
19,29,20,2025-06-13,OKC,@,IND,W 111-104,0,08:12,0,3,.000,0,1,.000,0,2,.000,.000,1,2,.500,0,0,0,1,1,0,0,0,1,0.2,5
20,30,21,2025-06-16,OKC,,IND,W 120-109,0,22:25,4,10,.400,4,7,.571,0,3,.000,.600,2,2,1.000,0,5,5,0,0,1,1,1,14,9.4,-5
