Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,32,1,2025-04-20,OKC,,MEM,W 131-80,0,11:49,0,0,,0,0,,0,0,,,0,0,,0,3,3,4,0,0,0,0,0,3.7,30
2,33,2,2025-04-22,OKC,,MEM,W 118-99,0,22:25,5,10,.500,3,6,.500,2,4,.500,.650,0,0,,1,3,4,3,3,1,0,2,13,14.6,18
3,34,3,2025-04-24,OKC,@,MEM,W 114-108,0,23:05,4,7,.571,1,3,.333,3,4,.750,.643,1,2,.500,2,4,6,3,4,1,2,2,10,12.9,5
4,35,4,2025-04-26,OKC,@,MEM,W 117-115,0,25:42,1,5,.200,1,4,.250,0,1,.000,.300,3,4,.750,1,2,3,5,2,1,0,0,6,10.0,-9
5,36,5,2025-05-05,OKC,,DEN,L 119-121,0,26:12,7,12,.583,5,9,.556,2,3,.667,.792,1,2,.500,0,1,1,6,5,2,2,4,20,21.3,13
6,37,6,2025-05-07,OKC,,DEN,W 149-106,0,09:45,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,0,0,0,0,0,1,0,0,2,1.0,9
7,38,7,2025-05-09,OKC,@,DEN,L 104-113 (OT),0,22:59,2,9,.222,2,5,.400,0,4,.000,.333,1,2,.500,0,2,2,2,1,0,0,2,7,3.3,-4
8,39,8,2025-05-11,OKC,@,DEN,W 92-87,0,28:20,3,7,.429,2,5,.400,1,2,.500,.571,2,3,.667,1,3,4,2,0,0,1,5,10,5.9,12
9,40,9,2025-05-13,OKC,,DEN,W 112-105,0,23:51,4,10,.400,3,6,.500,1,4,.250,.550,2,2,1.000,1,3,4,2,0,0,2,0,13,8.6,-4
10,41,10,2025-05-15,OKC,@,DEN,L 107-119,0,27:20,4,9,.444,2,5,.400,2,4,.500,.556,0,0,,0,0,0,4,2,1,1,5,10,7.8,-4
11,42,11,2025-05-18,OKC,,DEN,W 125-93,0,25:45,5,7,.714,1,3,.333,4,4,1.000,.786,0,0,,0,0,0,3,3,0,0,3,11,12.0,40
12,43,12,2025-05-20,OKC,,MIN,W 114-88,0,21:30,3,4,.750,3,3,1.000,0,1,.000,1.125,0,0,,0,3,3,0,0,0,1,3,9,6.1,10
13,44,13,2025-05-22,OKC,,MIN,W 118-103,0,24:10,4,7,.571,1,3,.333,3,4,.750,.643,0,0,,0,2,2,2,2,0,1,6,9,6.3,-5
14,45,14,2025-05-24,OKC,@,MIN,L 101-143,0,09:44,1,5,.200,1,3,.333,0,2,.000,.300,0,0,,0,0,0,0,0,0,0,2,3,-0.9,-16
15,46,15,2025-05-26,OKC,@,MIN,W 128-126,0,33:27,4,7,.571,2,5,.400,2,2,1.000,.714,0,0,,1,1,2,1,2,0,1,3,10,8.2,8
16,47,16,2025-05-28,OKC,,MIN,W 124-94,0,24:13,1,5,.200,0,3,.000,1,2,.500,.200,6,6,1.000,1,2,3,3,4,0,0,5,8,10.3,13
17,48,17,2025-06-05,OKC,,IND,L 110-111,0,28:28,3,8,.375,1,4,.250,2,4,.500,.438,4,5,.800,2,4,6,2,3,2,1,5,11,11.6,2
18,49,18,2025-06-08,OKC,,IND,W 123-107,0,27:04,6,11,.545,4,8,.500,2,3,.667,.727,4,4,1.000,1,2,3,1,0,0,2,3,20,13.5,6
19,50,19,2025-06-11,OKC,@,IND,L 107-116,0,32:13,2,5,.400,2,2,1.000,0,3,.000,.600,2,2,1.000,1,4,5,4,2,0,1,3,8,9.8,-15
20,51,20,2025-06-13,OKC,@,IND,W 111-104,0,30:24,7,9,.778,1,2,.500,6,7,.857,.833,5,7,.714,2,1,3,0,5,1,2,3,20,19.9,14
21,52,21,2025-06-16,OKC,,IND,W 120-109,0,29:19,1,8,.125,0,3,.000,1,5,.200,.125,0,0,,1,1,2,2,4,1,1,3,2,1.7,8
