Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,11,1,2025-04-20,OKC,,MEM,W 131-80,1,21:08,5,11,0.455,3,4,0.750,2,7,0.286,0.591,6,6,1.000,1,9,10,2,1,2,0,1,19,20.1,25
2,12,2,2025-04-22,OKC,,MEM,W 118-99,1,33:16,6,14,0.429,3,8,0.375,3,6,0.500,0.536,5,6,0.833,2,9,11,0,0,5,1,1,20,18.4,9
3,13,3,2025-04-24,OKC,@,MEM,W 114-108,1,32:10,8,16,0.500,5,10,0.500,3,6,0.500,0.656,3,4,0.750,2,6,8,0,0,0,1,3,24,16.6,18
4,14,4,2025-04-26,OKC,@,MEM,W 117-115,1,29:08,3,9,0.333,0,4,0.000,3,5,0.600,0.333,5,6,0.833,0,2,2,1,2,4,1,1,11,10.2,-3
5,15,5,2025-05-05,OKC,,DEN,L 119-121,1,27:51,5,11,0.455,0,3,0.000,5,8,0.625,0.455,2,4,0.500,1,5,6,2,1,4,2,5,12,8.9,-14
6,16,6,2025-05-07,OKC,,DEN,W 149-106,1,26:21,3,8,0.375,2,3,0.667,1,5,0.200,0.500,7,7,1.000,1,10,11,2,2,2,0,0,15,19.1,34
7,17,7,2025-05-09,OKC,@,DEN,L 104-113 (OT),1,40:11,7,19,0.368,1,6,0.167,6,13,0.462,0.395,3,4,0.750,5,11,16,0,1,3,3,2,18,13.2,-8
8,18,8,2025-05-11,OKC,@,DEN,W 92-87,1,29:20,4,10,0.400,0,3,0.000,4,7,0.571,0.400,0,0,,2,11,13,0,0,0,2,3,8,4.1,-7
9,19,9,2025-05-13,OKC,,DEN,W 112-105,1,33:40,6,9,0.667,1,2,0.500,5,7,0.714,0.722,1,3,0.333,1,7,8,1,1,2,1,3,14,13.0,13
10,20,10,2025-05-15,OKC,@,DEN,L 107-119,1,30:04,8,14,0.571,2,7,0.286,6,7,0.857,0.643,1,3,0.333,1,10,11,1,1,1,0,2,19,16.9,3
11,21,11,2025-05-18,OKC,,DEN,W 125-93,1,28:27,4,9,0.444,0,3,0.000,4,6,0.667,0.444,5,6,0.833,3,8,11,1,1,1,2,3,13,11.6,34
12,22,12,2025-05-20,OKC,,MIN,W 114-88,1,25:50,6,9,0.667,1,1,1.000,5,8,0.625,0.722,2,4,0.500,2,5,7,3,1,2,1,0,15,16.7,8
13,23,13,2025-05-22,OKC,,MIN,W 118-103,1,31:45,8,17,0.471,1,6,0.167,7,11,0.636,0.500,5,6,0.833,1,3,4,2,0,0,3,2,22,12.1,8
14,24,14,2025-05-24,OKC,@,MIN,L 101-143,1,20:48,3,7,0.429,1,4,0.250,2,3,0.667,0.500,3,3,1.000,1,4,5,2,1,0,0,1,10,10.2,-8
15,25,15,2025-05-26,OKC,@,MIN,W 128-126,1,33:03,9,14,0.643,2,4,0.500,7,10,0.700,0.714,1,2,0.500,4,3,7,1,1,3,1,2,21,20.1,2
16,26,16,2025-05-28,OKC,,MIN,W 124-94,1,30:17,8,13,0.615,2,4,0.500,6,9,0.667,0.692,4,6,0.667,1,6,7,0,0,3,0,3,22,18.7,21
17,27,17,2025-06-05,OKC,,IND,L 110-111,1,23:31,2,9,0.222,0,1,0.000,2,8,0.250,0.222,2,2,1.000,0,6,6,0,0,1,1,1,6,1.6,4
18,28,18,2025-06-08,OKC,,IND,W 123-107,1,27:45,6,11,0.545,1,3,0.333,5,8,0.625,0.591,2,2,1.000,1,5,6,1,0,1,2,2,15,10.5,4
19,29,19,2025-06-11,OKC,@,IND,L 107-116,1,34:42,6,15,.400,0,6,.000,6,9,.667,.400,8,9,.889,1,9,10,2,1,0,1,0,20,16.3,1
20,30,20,2025-06-13,OKC,@,IND,W 111-104,1,37:11,4,9,.444,0,1,.000,4,8,.500,.444,6,6,1.000,4,11,15,1,1,1,1,4,14,15.2,14
21,31,21,2025-06-16,OKC,,IND,W 120-109,1,33:43,4,15,.267,1,3,.333,3,12,.250,.300,0,0,,5,6,11,0,1,3,3,3,9,4.3,12
