Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,293,1,2024-10-24,OKC,@,DEN,W 102-87,1,28:35,2,7,0.286,0,2,0.000,2,5,0.400,0.286,1,1,1.000,1,1,2,0,3,1,0,3,5,4.4,-1
2,294,2,2024-10-26,OKC,@,CHI,W 114-95,1,24:44,2,5,0.400,1,3,0.333,1,2,0.500,0.500,2,2,1.000,0,2,2,1,0,0,1,0,7,4.6,16
3,295,3,2024-10-27,OKC,,ATL,W 128-104,1,28:50,5,7,0.714,4,6,0.667,1,1,1.000,1.000,2,2,1.000,1,1,2,1,0,0,0,5,16,12.8,17
4,296,4,2024-10-30,OKC,,SAS,W 105-93,1,25:05,7,9,0.778,6,8,0.750,1,1,1.000,1.111,0,0,,3,3,6,1,0,2,0,1,20,21.2,6
5,297,5,2024-11-01,OKC,@,POR,W 137-114,1,25:28,3,9,0.333,1,4,0.250,2,5,0.400,0.389,1,1,1.000,1,4,5,2,4,2,0,1,8,11.2,14
6,298,6,2024-11-02,OKC,@,LAC,W 105-92,1,29:44,6,12,0.500,1,4,0.250,5,8,0.625,0.542,3,4,0.750,1,3,4,3,0,0,0,4,16,11.7,2
7,299,7,2024-11-04,OKC,,ORL,W 102-86,1,27:54,2,6,0.333,2,4,0.500,0,2,0.000,0.500,0,0,,1,2,3,1,2,0,2,3,6,3.4,0
8,300,8,2024-11-06,OKC,@,DEN,L 122-124,1,25:40,3,6,0.500,3,5,0.600,0,1,0.000,0.750,2,2,1.000,0,6,6,3,3,2,1,4,11,13.7,5
9,301,9,2024-11-08,OKC,,HOU,W 126-107,1,18:59,1,7,0.143,1,5,0.200,0,2,0.000,0.214,0,0,,0,0,0,1,0,0,1,3,3,-3.0,7
10,302,10,2024-11-10,OKC,,GSW,L 116-127,1,29:38,6,11,0.545,3,8,0.375,3,3,1.000,0.682,1,1,1.000,1,5,6,3,1,1,0,4,16,15.1,-9
11,303,11,2024-11-11,OKC,,LAC,W 134-128,1,35:10,7,14,0.500,4,8,0.500,3,6,0.500,0.643,1,1,1.000,0,2,2,1,2,0,3,5,19,10.3,6
