team,year,advanced_stats_source,has_sofascore_advanced,advanced_any_imputed,raw_last12mo_avg_possession,raw_last12mo_pass_completion_pct,raw_last12mo_set_piece_success_rate,raw_last12mo_shots_on_target_pct,last12mo_avg_possession,last12mo_pass_completion_pct,last12mo_set_piece_success_rate,last12mo_shots_on_target_pct,advanced_imputed_last12mo_avg_possession,advanced_imputed_last12mo_pass_completion_pct,advanced_imputed_last12mo_set_piece_success_rate,advanced_imputed_last12mo_shots_on_target_pct,pre_wc_elo,pre_wc_fifa_rank,fifa_rank_score,last12mo_win_pct,last12mo_goals_for_per_match,last12mo_goals_against_per_match,last12mo_goal_diff_per_match,last12mo_matches_played,days_since_last_match,conf_UEFA,conf_CONMEBOL,conf_CONCACAF,conf_CAF,conf_AFC,conf_OFC,prior_wc_titles,prior_wc_finals,prior_wc_semifinals,prior_wc_appearances,is_defending_champion,label
Germany,2018,2018.0,True,False,72.666666666667,88.900414937759,0.0,28.985507246376812,72.666666666667,88.900414937759,0.0,28.985507246376812,False,False,False,False,,1.0,1.0,0.6,2.2666666666666666,1.0,1.2666666666666666,15.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,8.0,18.0,0.0,0
Brazil,2018,2018.0,True,False,58.8,88.840102451518,0.0,37.735849056603776,58.8,88.840102451518,0.0,37.735849056603776,False,False,False,False,,2.0,0.5,0.7,1.8,0.2,1.6,10.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,8.0,8.0,20.0,0.0,0
Belgium,2018,2018.0,True,False,52.714285714286,87.145289443814,20.0,38.095238095238095,52.714285714286,87.145289443814,20.0,38.095238095238095,False,False,False,False,,3.0,0.3333333333333333,0.8,3.4,0.8,2.6,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0
Portugal,2018,2018.0,True,False,55.0,83.972310969116,28.571428571428573,26.923076923076923,55.0,83.972310969116,28.571428571428573,26.923076923076923,False,False,False,False,,4.0,0.25,0.625,1.875,0.6875,1.1875,16.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0
Argentina,2018,2018.0,True,False,66.0,85.28384279476,0.0,30.508474576271187,66.0,85.28384279476,0.0,30.508474576271187,False,False,False,False,,5.0,0.2,0.4444444444444444,1.5555555555555556,1.3333333333333333,0.2222222222222222,9.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,16.0,0.0,0
Switzerland,2018,2018.0,True,False,59.75,84.927536231884,0.0,24.56140350877193,59.75,84.927536231884,0.0,24.56140350877193,False,False,False,False,,6.0,0.16666666666666666,0.7,2.2,0.5,1.7,10.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0
France,2018,2018.0,True,False,48.285714285714,82.277628032345,33.333333333333336,36.58536585365854,48.285714285714,82.277628032345,33.333333333333336,36.58536585365854,False,False,False,False,,7.0,0.14285714285714285,0.6363636363636364,2.0,0.8181818181818182,1.1818181818181819,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,14.0,0.0,1
Poland,2018,2018.0,True,False,50.666666666667,82.282069454288,0.0,25.0,50.666666666667,82.282069454288,0.0,25.0,False,False,False,False,,8.0,0.125,0.5,2.2,1.3,0.9,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0
Spain,2018,2018.0,True,False,74.5,91.876498800959,0.0,37.142857142857146,74.5,91.876498800959,0.0,37.142857142857146,False,False,False,False,,10.0,0.1,0.7,3.2,0.6,2.6,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,0.0,0
Peru,2018,2018.0,True,False,50.666666666667,81.120491174213,0.0,35.483870967741936,50.666666666667,81.120491174213,0.0,35.483870967741936,False,False,False,False,,11.0,0.09090909090909091,0.6363636363636364,1.5454545454545454,0.36363636363636365,1.1818181818181819,11.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0
Denmark,2018,2018.0,True,False,43.0,79.420825631547,0.0,30.0,43.0,79.420825631547,0.0,30.0,False,False,False,False,,12.0,0.08333333333333333,0.5454545454545454,1.6363636363636365,0.36363636363636365,1.2727272727272727,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0
England,2018,2018.0,True,False,54.285714285714,86.001070663812,44.44444444444444,31.86813186813187,54.285714285714,86.001070663812,44.44444444444444,31.86813186813187,False,False,False,False,2050.0,12.0,0.08333333333333333,0.7,1.4,0.3,1.1,10.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,0.0,0
Uruguay,2018,2018.0,True,False,47.4,78.87715397443,16.666666666666668,32.72727272727273,47.4,78.87715397443,16.666666666666668,32.72727272727273,False,False,False,False,,14.0,0.07142857142857142,0.5555555555555556,1.4444444444444444,0.5555555555555556,0.8888888888888888,9.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,12.0,0.0,0
Mexico,2018,2018.0,True,False,52.75,83.866995073892,33.333333333333336,21.311475409836067,52.75,83.866995073892,33.333333333333336,21.311475409836067,False,False,False,False,,15.0,0.06666666666666667,0.5217391304347826,1.391304347826087,1.0434782608695652,0.34782608695652173,23.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0
Colombia,2018,2018.0,True,False,50.25,80.435997764114,33.333333333333336,32.5,50.25,80.435997764114,33.333333333333336,32.5,False,False,False,False,,16.0,0.0625,0.2222222222222222,1.2222222222222223,0.8888888888888888,0.3333333333333333,9.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0
Croatia,2018,2018.0,True,False,57.0,81.460522770143,14.285714285714286,25.0,57.0,81.460522770143,14.285714285714286,25.0,False,False,False,False,,20.0,0.05,0.5,1.1,0.8,0.3,10.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0
Tunisia,2018,2018.0,True,False,52.666666666667,83.22440087146,100.0,34.285714285714285,52.666666666667,83.22440087146,100.0,34.285714285714285,False,False,False,False,,21.0,0.047619047619047616,0.4444444444444444,1.5555555555555556,1.0,0.5555555555555556,9.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0
Iceland,2018,2018.0,True,False,32.666666666667,69.543147208122,25.0,31.428571428571427,32.666666666667,69.543147208122,25.0,31.428571428571427,False,False,False,False,,22.0,0.045454545454545456,0.4166666666666667,2.0,1.3333333333333333,0.6666666666666666,12.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Costa Rica,2018,2018.0,True,False,39.0,77.788649706458,0.0,33.333333333333336,39.0,77.788649706458,0.0,33.333333333333336,False,False,False,False,,23.0,0.043478260869565216,0.375,1.0,1.25,-0.25,16.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0
Sweden,2018,2018.0,True,False,37.0,72.635814889336,28.571428571428573,35.08771929824562,37.0,72.635814889336,28.571428571428573,35.08771929824562,False,False,False,False,,24.0,0.041666666666666664,0.3333333333333333,1.5,0.75,0.75,12.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.0,0.0,0
Senegal,2018,2018.0,True,False,40.666666666667,76.0710553814,0.0,36.36363636363637,40.666666666667,76.0710553814,0.0,36.36363636363637,False,False,False,False,,27.0,0.037037037037037035,0.4,1.2,0.6,0.6,10.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Serbia,2018,2018.0,True,False,42.0,78.761061946903,100.0,23.529411764705884,42.0,78.761061946903,100.0,23.529411764705884,False,False,False,False,,34.0,0.029411764705882353,0.6,1.8,0.8,1.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
Australia,2018,2018.0,True,False,51.666666666667,84.03122782115,66.66666666666667,22.580645161290324,51.666666666667,84.03122782115,66.66666666666667,22.580645161290324,False,False,False,False,,36.0,0.027777777777777776,0.38461538461538464,1.4615384615384615,1.2307692307692308,0.23076923076923078,13.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0
