team,year,pre_wc_elo,pre_wc_fifa_rank,fifa_rank_score,last12mo_win_pct,last12mo_goals_for_per_match,last12mo_goals_against_per_match,last12mo_goal_diff_per_match,last12mo_matches_played,days_since_last_match,prior_wc_titles,prior_wc_finals,prior_wc_semifinals,prior_wc_appearances,is_defending_champion,last12mo_avg_possession,last12mo_pass_completion_pct,last12mo_set_piece_success_rate,last12mo_shots_on_target_pct,advanced_stats_source,conf_UEFA,conf_CONMEBOL,conf_CONCACAF,conf_CAF,conf_AFC,conf_OFC,label
Argentina,1930,2050.0,,0.05263157894736842,0.5,1.8333333333333333,0.6666666666666666,1.1666666666666667,6.0,49.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Belgium,1930,2050.0,,0.05263157894736842,0.5,2.5,1.6666666666666667,0.8333333333333334,6.0,35.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Bolivia,1930,2050.0,,0.05263157894736842,0.5,1.6363636363636365,1.0,0.6666666666666666,0.0,12.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Brazil,1930,2050.0,,0.05263157894736842,0.5,1.6363636363636365,1.0,0.6666666666666666,0.0,12.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Chile,1930,2050.0,,0.05263157894736842,0.5,1.6363636363636365,1.0,0.6666666666666666,0.0,12.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
France,1930,2050.0,,0.05263157894736842,0.16666666666666666,1.3333333333333333,2.8333333333333335,-1.5,6.0,49.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Mexico,1930,2050.0,,0.05263157894736842,0.5,1.6363636363636365,1.0,0.6666666666666666,0.0,12.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Paraguay,1930,2050.0,,0.05263157894736842,0.6666666666666666,3.0,1.3333333333333333,1.6666666666666667,3.0,239.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Peru,1930,2050.0,,0.05263157894736842,0.0,0.3333333333333333,4.0,-3.6666666666666665,3.0,239.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Romania,1930,2050.0,,0.05263157894736842,0.75,3.5,1.5,2.0,4.0,49.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
