team,wc_year,sofascore_team_id,sofascore_team_name,unique_tournament_id,season_id,competition,season,avg_possession,pass_completion_pct,shots_on_target_pct,set_piece_success_rate,sofascore_shots,sofascore_shots_on_target
Algeria,2010,4691,Algeria,16,2531,FIFA World Cup,World Cup 2010,47.333333333333,77.94245858762,14.634146341463415,0.0,41.0,6.0
Argentina,2010,4819,Argentina,16,2531,FIFA World Cup,World Cup 2010,62.2,85.659801678108,40.86021505376344,0.0,93.0,38.0
Australia,2010,4741,Australia,16,2531,FIFA World Cup,World Cup 2010,45.0,80.0,29.26829268292683,0.0,41.0,12.0
Brazil,2010,4748,Brazil,16,2531,FIFA World Cup,World Cup 2010,59.2,85.367892976589,32.967032967032964,0.0,91.0,30.0
Cameroon,2010,4751,Cameroon,16,2531,FIFA World Cup,World Cup 2010,56.333333333333,81.969587255612,22.916666666666668,33.333333333333336,48.0,11.0
Chile,2010,4754,Chile,16,2531,FIFA World Cup,World Cup 2010,54.0,77.647058823529,21.53846153846154,0.0,65.0,14.0
Denmark,2010,4476,Denmark,16,2531,FIFA World Cup,World Cup 2010,48.666666666667,78.835978835979,31.818181818181817,0.0,44.0,14.0
England,2010,4713,England,16,2531,FIFA World Cup,World Cup 2010,57.0,78.736263736264,38.23529411764706,0.0,68.0,26.0
France,2010,4481,France,16,2531,FIFA World Cup,World Cup 2010,51.333333333333,79.616724738676,22.727272727272727,0.0,44.0,10.0
Germany,2010,4711,Germany,16,2531,FIFA World Cup,World Cup 2010,51.857142857143,82.436428149024,35.57692307692308,0.0,104.0,37.0
Ghana,2010,4764,Ghana,16,2531,FIFA World Cup,World Cup 2010,49.6,78.75234521576,22.0,22.22222222222222,100.0,22.0
Greece,2010,4710,Greece,16,2531,FIFA World Cup,World Cup 2010,43.333333333333,77.825159914712,38.095238095238095,,42.0,16.0
Honduras,2010,4827,Honduras,16,2531,FIFA World Cup,World Cup 2010,37.0,71.173184357542,8.695652173913043,0.0,23.0,2.0
Italy,2010,4707,Italy,16,2531,FIFA World Cup,World Cup 2010,60.333333333333,76.814814814815,31.372549019607842,50.0,51.0,16.0
Japan,2010,4770,Japan,16,2531,FIFA World Cup,World Cup 2010,37.0,70.705394190871,38.63636363636363,40.0,44.0,17.0
Mexico,2010,4781,Mexico,16,2531,FIFA World Cup,World Cup 2010,57.5,81.216361679225,24.56140350877193,16.666666666666668,57.0,14.0
Netherlands,2010,4705,Netherlands,16,2531,FIFA World Cup,World Cup 2010,53.142857142857,80.475435816165,45.26315789473684,0.0,95.0,43.0
New Zealand,2010,4784,New Zealand,16,2531,FIFA World Cup,World Cup 2010,37.666666666667,69.125993189557,16.666666666666668,,18.0,3.0
Nigeria,2010,4785,Nigeria,16,2531,FIFA World Cup,World Cup 2010,41.333333333333,74.049945711183,21.875,33.333333333333336,32.0,7.0
North Korea,2010,5369,North Korea,16,2531,FIFA World Cup,World Cup 2010,35.666666666667,73.968253968254,25.714285714285715,0.0,35.0,9.0
Paraguay,2010,4789,Paraguay,16,2531,FIFA World Cup,World Cup 2010,49.0,71.668311944719,31.25,0.0,64.0,20.0
Portugal,2010,4704,Portugal,16,2531,FIFA World Cup,World Cup 2010,44.75,79.84496124031,29.508196721311474,0.0,61.0,18.0
Serbia,2010,6355,Serbia,16,2531,FIFA World Cup,World Cup 2010,49.666666666667,83.591836734694,19.565217391304348,0.0,46.0,9.0
Slovakia,2010,4697,Slovakia,16,2531,FIFA World Cup,World Cup 2010,49.5,76.181229773463,21.27659574468085,50.0,47.0,10.0
Slovenia,2010,4484,Slovenia,16,2531,FIFA World Cup,World Cup 2010,46.666666666667,73.239436619718,44.0,0.0,25.0,11.0
South Africa,2010,4736,South Africa,16,2531,FIFA World Cup,World Cup 2010,49.666666666667,82.816229116945,32.55813953488372,0.0,43.0,14.0
South Korea,2010,4735,Korea Republic,16,2531,FIFA World Cup,World Cup 2010,49.5,73.93021724819,28.125,10.0,64.0,18.0
Spain,2010,4698,Spain,16,2531,FIFA World Cup,World Cup 2010,65.714285714286,86.484593837535,27.559055118110237,0.0,127.0,35.0
Switzerland,2010,4699,Switzerland,16,2531,FIFA World Cup,World Cup 2010,40.0,74.947807933194,23.529411764705884,0.0,34.0,8.0
United States,2010,4724,USA,16,2531,FIFA World Cup,World Cup 2010,48.5,72.624292007552,35.294117647058826,14.285714285714286,68.0,24.0
Uruguay,2010,4725,Uruguay,16,2531,FIFA World Cup,World Cup 2010,41.857142857143,69.92266992267,38.775510204081634,12.5,98.0,38.0
