team,year,pre_wc_elo,fifa_rank_score,last12mo_avg_opponent_elo,last12mo_win_pct,last12mo_goals_for_per_match,last12mo_goals_against_per_match,last12mo_goal_diff_per_match,last12mo_matches_played,days_since_last_match,last12mo_avg_possession,last12mo_pass_completion_pct,last12mo_set_piece_success_rate,last12mo_shots_on_target_pct,is_host,conf_UEFA,conf_CONMEBOL,conf_CONCACAF,conf_CAF,conf_AFC,conf_OFC
Argentina,2026,2113.0,1.0,1591.5714285714287,0.8571428571428571,2.7142857142857144,0.2857142857142857,2.4285714285714284,7.0,72.0,63.888888888889,88.579285059578,8.333333333333334,38.028169014084504,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Spain,2026,2171.0,0.5,1659.75,0.75,3.0,0.25,2.75,8.0,72.0,70.5,91.860996799268,60.0,42.33576642335766,0.0,1.0,0.0,0.0,0.0,0.0,0.0
France,2026,2062.0,0.3333333333333333,1675.875,0.875,2.625,0.75,1.875,8.0,74.0,68.5,90.542951822585,66.66666666666667,35.11450381679389,0.0,1.0,0.0,0.0,0.0,0.0,0.0
England,2026,2042.0,0.25,1637.0,0.75,2.5,0.25,2.25,8.0,72.0,74.375,92.069025623148,50.0,41.72185430463576,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Brazil,2026,1979.0,0.2,1773.375,0.5,2.125,1.0,1.125,8.0,72.0,62.111111111111,88.624479778039,21.05263157894737,35.348837209302324,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Portugal,2026,1976.0,0.16666666666666666,1575.875,0.625,2.75,0.875,1.875,8.0,72.0,71.333333333333,91.707677165354,50.0,33.333333333333336,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Netherlands,2026,1959.0,0.14285714285714285,1577.625,0.625,2.5,0.75,1.75,8.0,72.0,66.625,91.16,55.55555555555556,37.410071942446045,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Belgium,2026,1849.0,0.125,1412.875,0.625,3.75,0.75,3.0,8.0,72.0,68.125,88.363636363636,57.142857142857146,35.95505617977528,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Croatia,2026,1933.0,0.1111111111111111,1601.625,0.75,2.125,0.875,1.25,8.0,72.0,70.0,88.128056914184,37.5,37.569060773480665,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Germany,2026,1910.0,0.1,1610.25,0.875,2.75,0.875,1.875,8.0,73.0,73.166666666667,89.684466019417,50.0,35.922330097087375,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Uruguay,2026,1890.0,0.09090909090909091,1721.125,0.375,1.0,0.875,0.125,8.0,72.0,52.666666666667,82.176165803109,9.090909090909092,30.851063829787233,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Morocco,2026,1830.0,0.08333333333333333,1515.095238095238,0.8095238095238095,1.9047619047619047,0.2857142857142857,1.619047619047619,21.0,72.0,54.5,86.63282571912,0.0,35.08771929824562,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Colombia,2026,1998.0,0.07692307692307693,1788.125,0.625,2.5,1.125,1.375,8.0,74.0,56.777777777778,85.614258434118,27.272727272727273,38.8663967611336,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mexico,2026,1835.0,0.07142857142857142,1693.7058823529412,0.47058823529411764,1.2352941176470589,0.7647058823529411,0.47058823529411764,17.0,72.0,61.166666666667,86.691542288557,0.0,42.857142857142854,1.0,0.0,0.0,1.0,0.0,0.0,0.0
United States,2026,1830.0,0.0625,1710.0,0.5714285714285714,1.9285714285714286,1.3571428571428572,0.5714285714285714,14.0,72.0,59.5,86.639538826721,0.0,43.20987654320987,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Switzerland,2026,1897.0,0.058823529411764705,1762.125,0.5,2.125,0.75,1.375,8.0,72.0,60.5,88.386549872845,66.66666666666667,49.23076923076923,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Japan,2026,1878.0,0.05555555555555555,1767.375,0.625,1.5,0.75,0.75,8.0,72.0,62.4,83.316481294237,33.333333333333336,27.692307692307693,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Senegal,2026,1803.0,0.05263157894736842,1520.4,0.8,2.6,0.6666666666666666,1.9333333333333333,15.0,72.0,52.0,81.742738589212,-1.0,34.09090909090909,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Iran,2026,1754.0,0.05,1586.3333333333333,0.3333333333333333,1.5,0.6666666666666666,0.8333333333333334,6.0,72.0,58.333333333333,79.411764705882,50.0,31.683168316831683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,2026,1818.0,0.045454545454545456,1471.125,0.75,2.75,0.5,2.25,8.0,72.0,64.25,85.141229527652,25.0,50.467289719626166,0.0,1.0,0.0,0.0,0.0,0.0,0.0
