team,wc_year,sofascore_team_id,sofascore_team_name,unique_tournament_id,season_id,competition,season,avg_possession,pass_completion_pct,shots_on_target_pct,set_piece_success_rate,sofascore_shots,sofascore_shots_on_target
Argentina,2022,4819,Argentina,16,41087,FIFA World Cup,World Cup 2022,57.571428571429,86.074485311127,47.0,50.0,100.0,47.0
Australia,2022,4741,Australia,16,41087,FIFA World Cup,World Cup 2022,37.5,75.882352941176,30.76923076923077,,26.0,8.0
Belgium,2022,4717,Belgium,16,41087,FIFA World Cup,World Cup 2022,57.333333333333,86.678004535147,25.714285714285715,0.0,35.0,9.0
Brazil,2022,4748,Brazil,16,41087,FIFA World Cup,World Cup 2022,56.0,88.187647654404,42.708333333333336,12.5,96.0,41.0
Cameroon,2022,4751,Cameroon,16,41087,FIFA World Cup,World Cup 2022,41.666666666667,78.975265017668,57.142857142857146,0.0,28.0,16.0
Canada,2022,4752,Canada,16,41087,FIFA World Cup,World Cup 2022,52.333333333333,84.491228070175,14.285714285714286,0.0,35.0,5.0
Costa Rica,2022,4756,Costa Rica,16,41087,FIFA World Cup,World Cup 2022,31.0,76.237623762376,58.333333333333336,,12.0,7.0
Croatia,2022,4715,Croatia,16,41087,FIFA World Cup,World Cup 2022,54.714285714286,85.645472061657,34.177215189873415,0.0,79.0,27.0
Denmark,2022,4476,Denmark,16,41087,FIFA World Cup,World Cup 2022,60.333333333333,84.219362059317,29.41176470588235,,34.0,10.0
Ecuador,2022,4757,Ecuador,16,41087,FIFA World Cup,World Cup 2022,53.333333333333,80.720180045011,36.666666666666664,50.0,30.0,11.0
England,2022,4713,England,16,41087,FIFA World Cup,World Cup 2022,63.4,87.929894179894,46.03174603174603,33.333333333333336,63.0,29.0
France,2022,4481,France,16,41087,FIFA World Cup,World Cup 2022,51.428571428571,84.3083652269,37.254901960784316,50.0,102.0,38.0
Germany,2022,4711,Germany,16,41087,FIFA World Cup,World Cup 2022,59.333333333333,87.246852764094,34.78260869565217,50.0,69.0,24.0
Ghana,2022,4764,Ghana,16,41087,FIFA World Cup,World Cup 2022,42.0,80.158033362599,38.46153846153846,0.0,26.0,10.0
Iran,2022,4766,Iran,16,41087,FIFA World Cup,World Cup 2022,36.333333333333,71.501532175689,30.303030303030305,100.0,33.0,10.0
Japan,2022,4770,Japan,16,41087,FIFA World Cup,World Cup 2022,35.75,77.465667915106,31.818181818181817,0.0,44.0,14.0
Mexico,2022,4781,Mexico,16,41087,FIFA World Cup,World Cup 2022,54.333333333333,78.799688230709,39.02439024390244,16.666666666666668,41.0,16.0
Morocco,2022,4778,Morocco,16,41087,FIFA World Cup,World Cup 2022,38.428571428571,80.671951679879,29.508196721311474,0.0,61.0,18.0
Netherlands,2022,4705,Netherlands,16,41087,FIFA World Cup,World Cup 2022,52.8,84.204832311576,38.095238095238095,0.0,42.0,16.0
Poland,2022,4703,Poland,16,41087,FIFA World Cup,World Cup 2022,36.75,77.410071942446,25.806451612903224,33.333333333333336,31.0,8.0
Portugal,2022,4704,Portugal,16,41087,FIFA World Cup,World Cup 2022,60.8,85.675025764342,39.39393939393939,50.0,66.0,26.0
Qatar,2022,4792,Qatar,16,41087,FIFA World Cup,World Cup 2022,43.0,81.332300542215,30.0,,20.0,6.0
Saudi Arabia,2022,4834,Saudi Arabia,16,41087,FIFA World Cup,World Cup 2022,44.666666666667,73.669724770642,31.03448275862069,0.0,29.0,9.0
Senegal,2022,4739,Senegal,16,41087,FIFA World Cup,World Cup 2022,45.0,79.829172141919,25.0,33.333333333333336,52.0,13.0
Serbia,2022,6355,Serbia,16,41087,FIFA World Cup,World Cup 2022,51.333333333333,79.912663755459,28.125,,32.0,9.0
South Korea,2022,4735,Korea Republic,16,41087,FIFA World Cup,World Cup 2022,48.25,82.960131075915,38.0,0.0,50.0,19.0
Spain,2022,4698,Spain,16,41087,FIFA World Cup,World Cup 2022,76.25,91.170928667564,29.26829268292683,50.0,41.0,12.0
Switzerland,2022,4699,Switzerland,16,41087,FIFA World Cup,World Cup 2022,48.75,82.517114270669,35.13513513513514,0.0,37.0,13.0
Tunisia,2022,4729,Tunisia,16,41087,FIFA World Cup,World Cup 2022,43.666666666667,76.162299239222,25.0,,32.0,8.0
United States,2022,4724,USA,16,41087,FIFA World Cup,World Cup 2022,53.0,84.539635647464,33.333333333333336,0.0,45.0,15.0
Uruguay,2022,4725,Uruguay,16,41087,FIFA World Cup,World Cup 2022,48.333333333333,76.954397394137,33.333333333333336,0.0,30.0,10.0
Wales,2022,4702,Wales,16,41087,FIFA World Cup,World Cup 2022,46.0,77.453365774534,29.166666666666668,50.0,24.0,7.0
