team,sofascore_team_id,sofascore_team_name,unique_tournament_id,season_id,competition,season,stats_source,avg_possession,pass_completion_pct,shots_on_target_pct,set_piece_success_rate,sofascore_shots,sofascore_shots_on_target
Argentina,4819,Argentina,295,53820,World Cup Qual. CONMEBOL,"World Cup Qualification, CONMEBOL 2025",wc_qual,63.888888888889,88.579285059578,38.028169014084504,8.333333333333334,213.0,81.0
Spain,4698,Spain,11,69427,World Cup Qual. UEFA,"World Cup Qualification, UEFA 2026",wc_qual,70.5,91.860996799268,42.33576642335766,60.0,137.0,58.0
France,4481,France,11,69427,World Cup Qual. UEFA,"World Cup Qualification, UEFA 2026",wc_qual,68.5,90.542951822585,35.11450381679389,66.66666666666667,131.0,46.0
England,4713,England,11,69427,World Cup Qual. UEFA,"World Cup Qualification, UEFA 2026",wc_qual,74.375,92.069025623148,41.72185430463576,50.0,151.0,63.0
Brazil,4748,Brazil,295,53820,World Cup Qual. CONMEBOL,"World Cup Qualification, CONMEBOL 2025",wc_qual,62.111111111111,88.624479778039,35.348837209302324,21.05263157894737,215.0,76.0
Portugal,4704,Portugal,11,69427,World Cup Qual. UEFA,"World Cup Qualification, UEFA 2026",wc_qual,71.333333333333,91.707677165354,33.333333333333336,50.0,150.0,50.0
Netherlands,4705,Netherlands,11,69427,World Cup Qual. UEFA,"World Cup Qualification, UEFA 2026",wc_qual,66.625,91.16,37.410071942446045,55.55555555555556,139.0,52.0
Belgium,4717,Belgium,11,69427,World Cup Qual. UEFA,"World Cup Qualification, UEFA 2026",wc_qual,68.125,88.363636363636,35.95505617977528,57.142857142857146,178.0,64.0
Croatia,4715,Croatia,11,69427,World Cup Qual. UEFA,"World Cup Qualification, UEFA 2026",wc_qual,70.0,88.128056914184,37.569060773480665,37.5,181.0,68.0
Germany,4711,Germany,11,69427,World Cup Qual. UEFA,"World Cup Qualification, UEFA 2026",wc_qual,73.166666666667,89.684466019417,35.922330097087375,50.0,103.0,37.0
Uruguay,4725,Uruguay,295,53820,World Cup Qual. CONMEBOL,"World Cup Qualification, CONMEBOL 2025",wc_qual,52.666666666667,82.176165803109,30.851063829787233,9.090909090909092,188.0,58.0
Morocco,4778,Morocco,270,56021,Africa Cup of Nations,Africa Cup of Nations 2023,fallback,54.5,86.63282571912,35.08771929824562,0.0,57.0,20.0
Colombia,4820,Colombia,295,53820,World Cup Qual. CONMEBOL,"World Cup Qualification, CONMEBOL 2025",wc_qual,56.777777777778,85.614258434118,38.8663967611336,27.272727272727273,247.0,96.0
Mexico,4781,Mexico,140,72840,CONCACAF Gold Cup,CONCACAF Gold Cup 2025,fallback,61.166666666667,86.691542288557,42.857142857142854,0.0,84.0,36.0
United States,4724,USA,140,72840,CONCACAF Gold Cup,CONCACAF Gold Cup 2025,fallback,59.5,86.639538826721,43.20987654320987,0.0,81.0,35.0
Switzerland,4699,Switzerland,11,69427,World Cup Qual. UEFA,"World Cup Qualification, UEFA 2026",wc_qual,60.5,88.386549872845,49.23076923076923,66.66666666666667,65.0,32.0
Japan,4770,Japan,246,51384,AFC Asian Cup,AFC Asian Cup 2023,fallback,62.4,83.316481294237,27.692307692307693,33.333333333333336,65.0,18.0
Senegal,4739,Senegal,270,56021,Africa Cup of Nations,Africa Cup of Nations 2023,fallback,52.0,81.742738589212,34.09090909090909,,44.0,15.0
Iran,4766,Iran,246,51384,AFC Asian Cup,AFC Asian Cup 2023,fallback,58.333333333333,79.411764705882,31.683168316831683,50.0,101.0,32.0
Austria,4718,Austria,11,69427,World Cup Qual. UEFA,"World Cup Qualification, UEFA 2026",wc_qual,64.25,85.141229527652,50.467289719626166,25.0,107.0,54.0
South Korea,4735,Korea Republic,246,51384,AFC Asian Cup,AFC Asian Cup 2023,fallback,69.833333333333,87.333333333333,37.11340206185567,62.5,97.0,36.0
Ecuador,4757,Ecuador,295,53820,World Cup Qual. CONMEBOL,"World Cup Qualification, CONMEBOL 2025",wc_qual,52.388888888889,84.32033173513,36.458333333333336,10.526315789473685,192.0,70.0
Australia,4741,Australia,246,51384,AFC Asian Cup,AFC Asian Cup 2023,fallback,53.6,82.010385756677,25.757575757575758,33.333333333333336,66.0,17.0
